27623, the Ville, artist's co-living space
27633, the Ville, Arthur Burton's house
27643, the Ville, Ryan Park's house 
27653, the Ville, Isabella Rodriguez's house
27663, the Ville, Giorgio Rossi's house
27673, the Ville, Carlos Gomez's house
27683, the Ville, The Rose and Crown Pub
27624, the Ville, Hobbs Cafe
27634, the Ville, Public Restroom
27644, the Ville, Johnson Park
27654, the Ville, Harvey Oak Supply Store
27664, the Ville, The Willows Market and Pharmacy
27674, the Ville, Adam Smith's house
27684, the Ville, Yuriko Yamamoto's house
27625, the Ville, Moore family's house
27635, the Ville, Tamara Taylor and Carmen Ortiz's house
27645, the Ville, Moreno family's house
27655, the Ville, Lin family's house
27665, the Ville, Dorm for Oak Hill College
